,DateTimeInterval,LotNumber,ActiveCarsCount
195993,2021-09-19 04:00:00,30,7
298370,2024-09-26 19:00:00,11,102
231170,2021-05-26 20:00:00,10,28
391703,2022-05-26 13:00:00,6,79
315797,2022-05-25 21:00:00,20,5
639004,2024-08-21 12:00:00,14,30
507389,2022-08-11 16:00:00,3,41
550560,2023-03-17 10:00:00,9,3
906325,2024-10-31 14:00:00,8,24
583539,2022-08-22 12:00:00,33,15
570169,2021-02-11 10:00:00,33,5
1071721,2022-01-21 21:00:00,94,0
543515,2022-05-27 21:00:00,9,1
639374,2024-09-05 22:00:00,14,9
261975,2024-11-30 09:00:00,10,59
807180,2022-03-07 15:00:00,34,2
93246,2022-12-25 04:00:00,80,13
410280,2024-07-08 14:00:00,6,118
391613,2022-05-22 19:00:00,6,29
977600,2024-04-22 07:00:00,65,0
596543,2024-02-15 08:00:00,33,18
420214,2021-04-28 11:00:00,13,80
265877,2021-01-11 22:00:00,11,17
48879,2022-04-01 14:00:00,97,11
662373,2022-12-23 04:00:00,56,3
256526,2024-04-17 08:00:00,10,339
483400,2024-03-15 04:00:00,99,4
762239,2021-05-20 03:00:00,24,6
328720,2023-11-15 08:00:00,20,75
380041,2021-01-25 15:00:00,6,71
940912,2024-06-13 16:00:00,51,15
654164,2022-01-15 03:00:00,56,1
1049189,2023-10-26 02:00:00,90,0
651684,2021-10-03 19:00:00,56,2
704515,2023-06-16 01:00:00,4,0
127170,2022-07-10 15:00:00,70,168
707762,2023-10-29 08:00:00,4,0
328485,2023-11-05 13:00:00,20,16
626578,2023-03-22 18:00:00,14,20
70220,2024-09-06 19:00:00,97,11
65051,2024-02-04 10:00:00,97,6
90562,2022-09-04 08:00:00,80,61
839500,2021-07-16 06:00:00,18,4
265002,2025-04-05 12:00:00,10,133
945587,2024-12-25 11:00:00,51,3
1034967,2022-03-12 12:00:00,90,0
880176,2021-11-07 01:00:00,8,0
922572,2022-05-11 12:00:00,51,13
294087,2024-04-01 08:00:00,11,269
860455,2023-12-06 09:00:00,18,49
907735,2024-12-29 08:00:00,8,1
767266,2021-12-15 14:00:00,24,26
444971,2024-02-24 00:00:00,13,10
894643,2023-07-02 20:00:00,8,0
898399,2023-12-06 08:00:00,8,17
29167,2024-04-30 07:00:00,21,32
18981,2023-03-02 21:00:00,21,68
1011094,2023-10-19 20:00:00,38,0
810134,2022-07-08 17:00:00,34,2
729101,2021-12-06 10:00:00,40,194
554611,2023-09-02 05:00:00,9,1
666505,2023-06-13 08:00:00,56,1
109809,2024-11-14 07:00:00,80,189
750535,2024-05-17 12:00:00,40,179
351281,2022-02-12 08:00:00,60,5
169252,2022-12-30 00:00:00,50,102
345804,2021-06-29 03:00:00,60,1
552047,2023-05-18 09:00:00,9,4
927830,2022-12-16 14:00:00,51,17
622524,2022-10-04 20:00:00,14,17
202692,2022-06-25 07:00:00,30,122
295075,2024-05-12 12:00:00,11,27
761277,2021-04-10 01:00:00,24,8
579814,2022-03-20 07:00:00,33,1
727983,2021-10-20 20:00:00,40,127
206454,2022-11-29 01:00:00,30,79
248817,2023-06-01 03:00:00,10,9
295950,2024-06-17 23:00:00,11,16
166676,2022-09-13 16:00:00,50,85
336208,2024-09-22 08:00:00,20,19
819140,2023-07-18 23:00:00,34,2
566489,2025-01-09 03:00:00,9,0
642307,2025-01-06 03:00:00,14,9
185002,2024-10-16 06:00:00,50,80
474304,2023-03-02 04:00:00,99,3
522536,2024-05-03 19:00:00,3,53
71807,2024-11-11 22:00:00,97,9
1049068,2023-10-21 01:00:00,90,0
91523,2022-10-14 09:00:00,80,191
133481,2023-03-30 14:00:00,70,84
741417,2023-05-03 14:00:00,40,164
932287,2023-06-20 07:00:00,51,15
520603,2024-02-13 06:00:00,3,59
843573,2022-01-01 23:00:00,18,0
464574,2022-01-20 18:00:00,99,2
11805,2022-05-07 21:00:00,21,2
710803,2024-03-04 01:00:00,4,0
959715,2022-04-08 02:00:00,65,0
890920,2023-01-28 17:00:00,8,2
437570,2023-04-21 15:00:00,13,70
551312,2023-04-17 18:00:00,9,1
906958,2024-11-26 23:00:00,8,3
1000088,2022-07-18 06:00:00,38,0
329901,2024-01-03 13:00:00,20,54
552635,2023-06-11 21:00:00,9,0
820649,2023-09-19 20:00:00,34,1
1059616,2025-01-02 13:00:00,90,0
329341,2023-12-11 05:00:00,20,12
68345,2024-06-20 16:00:00,97,14
748848,2024-03-08 05:00:00,40,109
1059021,2024-12-08 18:00:00,90,0
316798,2022-07-06 14:00:00,20,54
597284,2024-03-17 05:00:00,33,1
130771,2022-12-07 16:00:00,70,82
53203,2022-09-28 18:00:00,97,8
370037,2024-04-03 20:00:00,60,23
930864,2023-04-22 00:00:00,51,6
6143,2021-09-13 23:00:00,21,38
767509,2021-12-25 17:00:00,24,5
648440,2021-05-21 15:00:00,56,1
599887,2024-07-03 16:00:00,33,9
2972,2021-05-04 20:00:00,21,17
581495,2022-05-29 08:00:00,33,1
433727,2022-11-12 12:00:00,13,36
347256,2021-08-28 15:00:00,60,8
1029606,2021-08-01 03:00:00,90,0
456794,2021-03-02 14:00:00,99,18
677147,2024-08-29 18:00:00,56,66
670724,2023-12-06 03:00:00,56,8
573912,2021-07-17 09:00:00,33,0
242312,2022-09-03 02:00:00,10,18
927056,2022-11-14 08:00:00,51,23
782570,2023-09-14 06:00:00,24,17
1041650,2022-12-15 23:00:00,90,0
550840,2023-03-29 02:00:00,9,1
1027645,2021-05-11 10:00:00,90,0
191247,2021-03-05 10:00:00,30,67
763825,2021-07-25 05:00:00,24,5
81233,2021-08-11 15:00:00,80,187
776696,2023-01-12 12:00:00,24,47
398129,2023-02-18 07:00:00,6,53
867012,2024-09-04 14:00:00,18,47
887081,2022-08-21 18:00:00,8,1
432997,2022-10-13 02:00:00,13,4
259341,2024-08-12 15:00:00,10,352
214361,2023-10-24 12:00:00,30,143
276716,2022-04-08 13:00:00,11,187
593424,2023-10-08 09:00:00,33,3
367349,2023-12-13 20:00:00,60,18
1024357,2025-04-24 11:00:00,38,0
183034,2024-07-26 06:00:00,50,88
557142,2023-12-16 16:00:00,9,0
566547,2025-01-11 13:00:00,9,0
880037,2021-11-01 06:00:00,8,0
87468,2022-04-28 10:00:00,80,203
166548,2022-09-08 08:00:00,50,61
1035517,2022-04-04 10:00:00,90,0
494711,2021-03-01 10:00:00,3,28
235907,2021-12-10 05:00:00,10,8
22706,2023-08-05 02:00:00,21,6
299536,2024-11-14 09:00:00,11,356
405486,2023-12-21 20:00:00,6,66
798668,2021-03-17 23:00:00,34,0
320668,2022-12-14 20:00:00,20,14
716198,2024-10-14 20:00:00,4,0
101212,2023-11-22 02:00:00,80,60
934137,2023-09-05 09:00:00,51,25
754984,2024-11-18 21:00:00,40,162
336312,2024-09-26 16:00:00,20,107
783885,2023-11-08 01:00:00,24,10
412468,2024-10-07 18:00:00,6,117
83035,2021-10-25 17:00:00,80,154
531688,2021-01-20 02:00:00,9,0
777004,2023-01-25 08:00:00,24,40
227239,2025-04-13 02:00:00,30,67
